slug,program_name,type,apply_url,extracted_question,matched_question_id,matched_question_text,similarity,confidence,recommendation
hamilton-chamber-of-commerce,Hamilton Chamber of Commerce,other,https://www.hamiltonchamber.ca/join-now/,none_found,,,,,no_questions_found
hive-vancouver-society,HiVE Vancouver Society,other,https://www.hivevancouver.com/memberships,none_found,,,,,no_questions_found
impact-hub-ottawa,Impact Hub Ottawa,other,https://ottawa.impacthub.net/become-a-member/,none_found,,,,,no_questions_found
lahacks,LAHacks,other,https://apply.lahacks.com,none_found,,,,,js_rendered_no_content
mit-hacking-medicine,MIT Hacking Medicine,other,https://www.hackingmedicine.mit.edu/events/grandhack-2026,none_found,,,,,event_past_no_open_application
onramp-coworking-university-of-toronto,ONRamp Coworking University of Toronto,other,https://ute.acceleratorapp.co/application/new?program=onramp%20membership,none_found,,,,,js_rendered_no_content
payment-summit-canada,Payment Summit Canada,other,https://www.thesummit.ca/page/5013974/register,none_found,,,,,no_questions_found
people-analytics-summit,People Analytics Summit,other,https://strategyinstitute-21235114.hs-sites.com/pa-2026-register-your-interest-for-2026,none_found,,,,,no_questions_found
productbc,ProductBC,other,https://productbc.ca/joinnow/,none_found,,,,,no_questions_found
queens-startup-summit,Queen's Startup Summit,other,https://qssummit.com,none_found,,,,,js_rendered_no_content
saas-connect,SaaS Connect,other,https://www.eventbrite.ca/e/477618779627,none_found,,,,,event_past_no_open_application
saas-north,SaaS North,other,https://saasnorth.com/get-your-saas-pass-2026/,none_found,,,,,no_questions_found
saastock,SaaStock,other,https://saastock.typeform.com/to/yb3fdaB1,none_found,,,,,js_rendered_no_content
saastr-apac,SaaStr APAC,other,https://saastrapac.com/rsvp,none_found,,,,,event_past_no_open_application
seneca-college-hackathon,Seneca College Hackathon,other,https://www.senecahackathon.com/register,none_found,,,,,no_questions_found
sf-hacks,SF Hacks,other,https://app.sfhacks.io/,none_found,,,,,js_rendered_no_content
