slug,program_name,type,apply_url,extracted_question,matched_question_id,matched_question_text,similarity,confidence,recommendation
creative-destruction-lab,Creative Destruction Lab,accel,https://creativedestructionlab.com/application-triage/,"What is your company website (research page, professional profile, etc.)?",3aa8c023-a3fb-49a8-b166-35838b6fb2ea,"What does your company do? Give us a clear, jargon-free description.",0.589,medium,review
creative-destruction-lab,Creative Destruction Lab,accel,https://creativedestructionlab.com/application-triage/,Which CDL stream(s) are you interested in applying to? (select all that apply),8fed79c9-e2a1-4b41-86cb-1ef952f8c8c4,What problem are you solving and how big is the market opportunity?,0.455,medium,review
creative-destruction-lab,Creative Destruction Lab,accel,https://creativedestructionlab.com/application-triage/,Are you familiar with the CDL program?,3949fde1-3f61-471e-8bbb-91f13a79be55,How much are you raising and what will you use the capital for?,0.495,medium,review
creative-destruction-lab,Creative Destruction Lab,accel,https://creativedestructionlab.com/application-triage/,Comments / anything else you'd like to share about your startup or application,638c2840-a492-4a2d-ae37-bf90d94de876,How do you make money? Describe your revenue model and pricing.,0.471,medium,review
design-fabrication-zone,Design Fabrication Zone,accel,https://www.torontomu.ca/admissions/,none_found,,,,no_match,skip
digital-media-and-gaming-incubator,Digital Media and Gaming Incubator,accel,https://www.georgebrown.ca/apply,none_found,,,,no_match,skip
district-3-innovation,District 3 Innovation,accel,https://district3.co/apply,"What problem, need or social issue are you trying to solve through your startup or idea?",0a1a84ac-f334-43c9-9dfe-f30a13c814f3,What problem are you trying to solve? Who experiences this problem and how badly?,0.587,medium,review
district-3-innovation,District 3 Innovation,accel,https://district3.co/apply,"What is your current proposed solution, and what makes it unique?",8d844179-a1eb-4550-a16a-eca69b200925,How does your product or service solve the problem? What makes it unique?,0.661,medium,review
district-3-innovation,District 3 Innovation,accel,https://district3.co/apply,Which UN Sustainable Development Goals are you working towards through your idea or startup?,bcd0825d-894d-4cec-8a35-4a6d35d6c510,What opportunity gap are you working to close? What systemic or structural forces created this gap?,0.476,medium,review
district-3-innovation,District 3 Innovation,accel,https://district3.co/apply,"Have you ever participated or are currently participating in an incubator or entrepreneurship program, if so which ones?",e9e5271f-b91d-4010-8620-643ba319cf7e,"Are you applying to other accelerators or programs at this time? If so, which ones?",0.532,medium,review
