slug,program_name,type,apply_url,extracted_question,matched_question_id,matched_question_text,similarity,confidence,recommendation
webc,WeBC,accel,https://we-bc.ca/work-with-us/,none_found,,,,high,page_is_jobs_board_no_founder_application
weve-acceleration,WEVE Acceleration,accel,https://weveacceleration.com/apply-2,none_found,,,,high,page_has_no_substantive_questions_only_contact_form
rbc-women-in-cleantech-accelerator,Women in Cleantech RBC Accelerator,accel,https://marsdd.com/apply,"Provide an overview of your company: what you do, who you serve, and the problem you solve.",bc76394d,"Provide an overview of your company: what you do, who you serve, and the problem you solve.",0.98,high,include
rbc-women-in-cleantech-accelerator,Women in Cleantech RBC Accelerator,accel,https://marsdd.com/apply,"What stage is your company at? (idea, pre-revenue, early revenue, growth)",4c01b9bc,"What stage is your company? Do you have a product, users, or revenue yet?",0.88,high,include
rbc-women-in-cleantech-accelerator,Women in Cleantech RBC Accelerator,accel,https://marsdd.com/apply,Describe your target market and customers.,d180a500,"Describe your commercialization plan, including target market, customers, and path to market.",0.83,medium,include
rbc-women-in-cleantech-accelerator,Women in Cleantech RBC Accelerator,accel,https://marsdd.com/apply,Tell us about your founding team and their relevant experience.,89602376,Tell us about your founding team. What makes you the right team to build this?,0.93,high,include
rbc-women-in-cleantech-accelerator,Women in Cleantech RBC Accelerator,accel,https://marsdd.com/apply,What specific support are you looking for from MaRS?,ba19cd83,What specific outcomes are you hoping to achieve by participating in this program?,0.85,high,include
womens-startup-lab,Women's Startup Lab,accel,https://www.womenstartuplab.com/join-us/,none_found,,,,high,page_is_contact_inquiry_form_only_no_substantive_questions
xrc-labs,XRC Labs,accel,https://www.xrclabs.com/apply,none_found,,,,medium,js_rendered_spa_form_requires_interaction_to_extract_questions
y2-labs,Y2 Labs,accel,https://y2labs.co/get-started/,none_found,,,,high,program_targets_students_not_startups_no_founder_application
yedi-incubator,YEDI Incubator,accel,https://yedi.ca/get-started-at-yedi/,none_found,,,,high,hub_page_no_inline_form_links_to_open_applications
1984-ventures,1984 Ventures,vc,https://1984.vc/apply/start,Tell us about your founding team and what makes them exceptional. What is each person genuinely great at?,89602376,Tell us about your founding team. What makes you the right team to build this?,0.91,high,include
1984-ventures,1984 Ventures,vc,https://1984.vc/apply/start,Describe the hair-on-fire problem your customers are desperate to solve. How do you know the need is burning?,c5d02658,Describe the problem you are solving and the pain your customers experience today.,0.89,high,include
1984-ventures,1984 Ventures,vc,https://1984.vc/apply/start,How is your solution 10x better than the status quo? What makes the efficiency gain visceral?,efcd5e10,What is your unfair advantage or competitive moat?,0.82,medium,include
2048-ventures,2048 Ventures,vc,https://airtable.com/appV89PYGo3zN47f9/pagNjeYwHGADSGIs3/form,none_found,,,,high,airtable_form_requires_js_rendering_no_questions_extracted
astia,Astia,vc,https://astia.my.site.com/connect/s/raiseapplication,none_found,,,,high,salesforce_experience_cloud_requires_js_no_questions_extracted
bcf-ventures,BCF Ventures,vc,https://www.f6s.com/bcfventures/apply,none_found,,,,high,f6s_blocked_by_bot_detection_requires_authenticated_browser
betaworks,betaworks,vc,https://www.betaworks.com/camp/application,What are you building? Describe your autonomous agent system and how it delivers complete solutions to concrete problems.,0fc477b9,What are you building? Describe your product or service in plain language.,0.87,medium,include_applications_currently_closed_criteria_inferred_from_page
betaworks,betaworks,vc,https://www.betaworks.com/camp/application,"How does your product embody machine intelligence at a systemic level (perception, memory, planning, execution, adaptability, self-evaluation)?",63b66f58,How is AI or machine learning central to your product or business?,0.84,medium,include_criteria_inferred_from_page
bethnal-green-ventures,Bethnal Green Ventures,vc,https://www.bethnalgreenventures.com/apply,"Describe your tech for good venture: what you are building, who you serve, and what social or environmental problem you are solving.",0974867f,"Describe your social innovation. What are you doing, for whom, and what change are you trying to create?",0.95,high,include
bethnal-green-ventures,Bethnal Green Ventures,vc,https://www.bethnalgreenventures.com/apply,How does technology enable your solution to scale and create direct impact on millions of lives?,d6ea9446,How can your technology solution scale to reach more people? What does scale look like for your organization?,0.9,high,include
bethnal-green-ventures,Bethnal Green Ventures,vc,https://www.bethnalgreenventures.com/apply,What evidence do you have that your venture creates meaningful impact? What have you measured?,283846fa,What evidence do you have that your venture is creating meaningful impact? What have you measured?,0.98,high,include
bethnal-green-ventures,Bethnal Green Ventures,vc,https://www.bethnalgreenventures.com/apply,How does your solution reduce inequality through affordability and accessibility for underserved communities?,d8911401,How does your venture serve underserved or overlooked communities or markets?,0.91,high,include
bethnal-green-ventures,Bethnal Green Ventures,vc,https://www.bethnalgreenventures.com/apply,Tell us about your founding team and why you are the right team to build this.,89602376,Tell us about your founding team. What makes you the right team to build this?,0.94,high,include
bethnal-green-ventures,Bethnal Green Ventures,vc,https://www.bethnalgreenventures.com/apply,"What is your current stage, and do you have a working prototype or early users?",77b5c487,What stage is your venture at? What have you built or tested so far?,0.93,high,include
capitalize-vc,Capitalize VC,vc,https://airtable.com/apppvODtMSw09eCae/pagdarmEj6iMMvBob/form,none_found,,,,high,airtable_form_requires_js_rendering_no_questions_extracted
contrary,Contrary,vc,https://applications.contrary.com/,none_found,,,,high,portal_requires_js_rendering_typeform_found_is_talent_program_not_founder_application
differential-vc,Differential VC,vc,https://www.differential.vc/contact-us/submit-a-deck-form,none_found,,,,high,deck_submission_contact_form_no_substantive_founder_questions
