slug,program_name,type,apply_url,extracted_question,matched_question_id,matched_question_text,similarity,confidence,recommendation
2bx,2bX,accel,https://2bx.vc/jobs/,none_found,,,,no_match,skip
accelerate-okanagan,Accelerate Okanagan,accel,https://accelerateokanagan.com/entrepreneurs/general-programs-application-form/,none_found,,,,no_match,skip
altitude-accelerator,Altitude Accelerator,accel,https://altitudeaccelerator.ca/investor-readiness/,none_found,,,,no_match,skip
antler-academy,Antler Academy,accel,https://www.antler.co/apply,none_found,,,,no_match,skip
antler,Antler Global,accel,https://www.antler.co/apply,none_found,,,,no_match,skip
antler-us-boulder,Antler US Boulder,accel,https://www.antler.co/apply,none_found,,,,no_match,skip
babson-college-center-for-womens-entrepreneurial-leadership,Babson College Center for Women's Entrepreneurial Leadership,accel,https://www.babson.edu/undergraduate/how-to-apply/,none_found,,,,no_match,skip
bengal-entrepreneurship-program,Bengal Entrepreneurship Program,accel,https://suny.buffalostate.edu/apply,none_found,,,,no_match,skip
berkeley-skydeck,Berkeley SkyDeck,accel,https://skydeck.berkeley.edu/apply/,none_found,,,,no_match,skip
biomedical-zone,Biomedical Zone,accel,https://www.torontomu.ca/admissions/,none_found,,,,no_match,skip
brampton-venture-zone,Brampton Venture Zone,accel,https://www.torontomu.ca/admissions/,none_found,,,,no_match,skip
catalyze-cu,Catalyze CU,accel,https://forms.gle/vRVUnE62B3mYLS7L7,none_found,,,,no_match,skip
centre-for-entrepreneurship,Centre for Entrepreneurship University of Toronto,accel,https://www.entrepreneurship.artsci.utoronto.ca/apply-be-ta,none_found,,,,no_match,skip
clean-energy-zone,Clean Energy Zone,accel,https://www.torontomu.ca/admissions/,none_found,,,,no_match,skip
cleantech-open,Cleantech Open,accel,https://www.cleantechopen.org/en/custom/2026ctoaccelerator/new/submit,none_found,,,,no_match,skip
collider,Collider,accel,https://www.collider.io/apply,none_found,,,,no_match,skip
