slug,name,type,homepage_url,discovered_apply_url,confidence,notes
earlybird-vc,Earlybird VC,vc,https://earlybird.com,,not_found,No structured application form found; contact page only (earlybird.com/contact-us); invite/referral based
eight-roads,Eight Roads,vc,https://eightroads.com/en,,not_found,No structured application form; contact page only (eightroads.com/en/contact); referral/network based
elsewhere-partners,Elsewhere Partners,vc,https://www.linkedin.com/company/elsewhere-partners,,not_found,Homepage is LinkedIn only; no standalone site or form found
embark-ventures,Embark Ventures,vc,https://www.embark.vc,,not_found,No apply or pitch form found on site; deep tech focused fund; appears referral-based
energy-impact-partners,Energy Impact Partners,vc,https://www.energyimpactpartners.com,,not_found,No structured application form; contact page only; strategic utility-backed fund; referral-based
eniac-ventures,Eniac Ventures,vc,https://eniac.vc,,not_found,No apply form found on scraped page; links to TechCrunch only; likely referral/email based
episode-1-ventures,Episode 1 Ventures,vc,https://episode1.com,https://www.episode1.com/,medium,"Embedded deck upload form on homepage (B2B software pre-seed/seed); no distinct URL for form — form lives on homepage; ""Submit your deck"" CTA"
equal-ventures,Equal Ventures,vc,https://www.equal.vc,,not_found,Site timed out; no apply URL found via scrape or search; appears referral-based
ethical-capital-partners,Ethical Capital Partners,vc,https://www.ethicalcapitalpartners.com,,not_found,Contact page only (ethicalcapitalpartners.com/contact); no intake form found
everywhere,Everywhere,vc,https://everywhere.vc,https://airtable.com/appeY02X0EMCQQ19G/shrjpNqWOj0SJP1ix,high,Airtable application form linked directly from homepage as "Join our portfolio"
expansion-venture-capital,Expansion Venture Capital,vc,https://www.expansionvc.com,,not_found,Contact page only (expansionvc.com/contact); no structured pitch intake form found
extreme-venture-partners,Extreme Venture Partners,vc,https://www.evp.vc,,not_found,No apply form found; Canadian seed fund; appears referral-based; portfolio/team links only
felicis,Felicis,vc,https://www.felicis.com,,not_found,No structured apply form on site; sources indicate email hello@felicis.com; no intake form URL found
ferst-capital-partners,Ferst Capital Partners,vc,https://www.linkedin.com/company/ferst-capital-partners/about,,not_found,Homepage is LinkedIn only; no standalone website or form found
fifth-wall,Fifth Wall,vc,https://fifthwall.com,,not_found,No structured application form; contact page only (fifthwall.com/contact); strategic RE-tech LP fund; referral-based
firepower-capital,FirePower Capital,vc,https://www.firepowercapital.com,,not_found,Growth equity/PE-style firm; contact page only (firepowercapital.com/contact); not a traditional VC with open applications
first-ascent-ventures,First Ascent Ventures,vc,https://firstascentventures.com,,not_found,No apply or pitch form found on site; enterprise software fund; fully invested Fund II; referral-based
firstmark-capital,FirstMark Capital,vc,https://firstmarkcap.com,,not_found,No structured application form found on site; NYC early-stage VC; referral/warm intro based
fj-labs,FJ Labs,vc,https://www.fjlabs.com,,not_found,No direct apply form found on scraped page; sources indicate pitch via fjlabs.com website contact; no specific intake URL
flybridge,Flybridge,vc,https://www.flybridge.com,,not_found,No apply/pitch form found; pre-seed via Next Wave program (flybridge.com/next-wave) but no intake form; referral-based
flying-fish-partners,Flying Fish Partners,vc,https://www.flyingfish.vc/home,,not_found,Contact page (flyingfish.vc/get-in-touch) only; no structured intake form; AI/ML pre-seed and seed fund
formic-ventures,Formic Ventures,vc,https://formic.vc,,not_found,Contact page only (formic.vc/contact_us.html); no structured pitch intake form found
forward-partners,Forward Partners,vc,https://forwardpartners.com,,not_found,DNS resolution failed for forwardpartners.com; domain may be expired or moved
founders-fund,Founders Fund,vc,https://foundersfund.com,,not_found,No apply form found; no contact or pitch page; entirely referral/network based
framework-venture-partners,Framework Venture Partners,vc,https://www.framework.vc,,not_found,Contact page only (framework.vc/en/contact); Canadian enterprise VC; referral-based
frog-capital,Frog Capital,vc,https://frogcapital.com,,not_found,Contact page only (frogcapital.com/contact/); European scale-up VC; referral-based
front-row-ventures,Front Row Ventures,vc,https://frontrow.ventures,https://frontrow.ventures/apply,high,Dedicated apply page with intake form for student founders; "Apply for funding" and "Apply now" CTAs link directly
fuel-venture-capital,Fuel Venture Capital,vc,https://fuelventurecapital.com,https://fuelventurecapital.com/pitch-us,high,Dedicated "Pitch Us" page found via nav; fintech growth fund
fuel-ventures,Fuel Ventures,vc,https://fuel.ventures,https://www.fuel.ventures/submit-pitch,high,Dedicated "Submit Pitch" page prominently featured in nav and CTA; UK-based early stage VC
garage-capital,Garage Capital,vc,https://www.garage.vc,,not_found,No apply or pitch form found on site; portfolio includes ApplyBoard; appears referral-based
georgian,Georgian,vc,https://georgian.io,,not_found,No apply form found; growth-stage AI/software VC; referral/network based
gibraltar-company,"Gibraltar & Company",vc,https://www.gibraltarcompany.ca,,not_found,Contact page only (gibraltarcompany.ca/contact); consumer-focused Canadian VC; referral-based
