slug,name,type,homepage_url,discovered_apply_url,confidence,notes
acf-investors,ACF Investors,vc,https://www.acfinvestors.com,https://www.acfinvestors.com/angel-cofund/#apply_form,medium,Has Apply for Funding sections on both Angel CoFund and Delta Fund pages (anchor links to embedded form); co-invest model requiring angel syndicate lead
acme-capital,ACME Capital,vc,https://www.acme.vc,,not_found,not_found: site timed out on scrape; no apply surface identified
acrew-capital,Acrew Capital,vc,https://www.acrewcapital.com,,not_found,not_found: contact is email only (hello@acrewcapital.com); no structured form for founders
active-impact-investments,Active Impact Investments,vc,https://www.activeimpactinvestments.com,https://www.activeimpactinvestments.com/workwithus,low,Has a Work With Us page; page timed out on secondary scrape so form content unconfirmed; may be contact form only
advent-life-sciences,Advent Life Sciences,vc,https://adventls.com,,not_found,not_found: contact page is email-based (contact@adventls.com); no founder application form
alate-partners,Alate Partners,vc,https://alatepartners.com,,not_found,not_found: no apply or pitch page found; portfolio-focused site; no structured intake
allosterx-capital,AllosteRx Capital,vc,https://www.allosterxcapital.com,,not_found,not_found: contact-us page only; no structured application form for founders
alpha-bridge-ventures,Alpha Bridge Ventures,vc,https://www.alphabridge.vc,,not_found,not_found: contact-us anchor link only; no structured apply form visible
alpha-partners,Alpha Partners,vc,https://alphapartners.com,,not_found,not_found: has a contact page and email newsletter form; no structured startup application
amadeus-capital-partners,Amadeus Capital Partners,vc,https://www.amadeuscapital.com,https://www.amadeuscapital.com/submit-a-proposal/,medium,Submit a Proposal page in top nav; form content not fully loaded but dedicated proposal submission page exists
amplifyla,Amplify.LA,vc,https://amplify.la,,not_found,not_found: contact page only; pre-seed LA fund with no public application form
apollo-health-ventures,Apollo Health Ventures,vc,https://www.apollo.vc,,not_found,not_found: contact is email only (info@apollo.vc); co-founding model not open application
archangel-network-of-funds,Archangel Network of Funds,vc,https://www.archangelnetwork.ca,,not_found,not_found: contact-us page only; invests through angel syndicates not open applications
arctern-ventures,ArcTern Ventures,vc,https://www.arcternventures.com,,not_found,not_found: no dedicated apply page; contact section has email form but no structured founder intake
ascent-venture-partners,Ascent Venture Partners,vc,https://www.ascentvp.com,,not_found,not_found: contact-us page only; no structured application form
astia,Astia,vc,https://www.astia.org,https://astia.my.site.com/connect/s/raiseapplication,high,Clear Apply page with Salesforce-powered application portal for investment consideration; founders answer structured questions
atb-ventures,ATB Ventures,vc,https://twitter.com/AtbVentures,,not_found,not_found: homepage is Twitter/X; no application surface accessible
atlas-venture,Atlas Venture,vc,https://atlasventure.com,,not_found,not_found: cookies-heavy site; no apply or pitch page found in scraped content
atomico,Atomico,vc,https://atomico.com,,not_found,not_found: no apply page found; large multi-stage European VC; inbound through network
atx-venture-partners,ATX Venture Partners,vc,https://www.atxventurepartners.com,,not_found,not_found: contact section only; no structured startup application
austin-ventures,Austin Ventures,vc,https://austinventures.com,,not_found,not_found: site warns of scam impersonators and states no current hiring; appears largely inactive/wind-down
bain-capital-ventures,Bain Capital Ventures,vc,https://baincapitalventures.com,,not_found,not_found: has contact page; no structured founder application form; large growth-stage fund
balderton-capital,Balderton Capital,vc,https://www.balderton.com,,not_found,not_found: no apply page found; large Series A+ European fund; network-driven dealflow
baroda-ventures,Baroda Ventures,vc,https://www.linkedin.com/company/baroda-ventures,,not_found,not_found: homepage is LinkedIn company page; no application surface
basf-venture-capital,BASF Venture Capital,vc,https://www.basf.com/global/en/who-we-are/organization/group-companies/BASF_Venture-Capital.html,,not_found,not_found: corporate VC with contact via Vanessa Holzhaeuser PR contact; no founder application form; email-based contact only
battery-ventures,Battery Ventures,vc,https://www.battery.com,,not_found,not_found: no apply page found; large multi-stage fund; inbound through network
bcf-ventures,BCF Ventures,vc,https://bcfventures.vc,https://www.f6s.com/bcfventures/apply,high,APPLY NOW button prominently links to F6s application portal; structured questions for founders
bdmi-fund,BDMI Fund,vc,https://www.bdmifund.com,,not_found,not_found: site redirects to 1745 Ventures and Bertelsmann Investments; BDMI no longer active under that name
bessemer-venture-partners,Bessemer Venture Partners,vc,https://www.bvp.com,,not_found,not_found: has contact page; large multi-stage fund with no public founder application
betaworks,betaworks,vc,https://www.betaworks.com,https://www.betaworks.com/camp/application,high,Camp application page with structured form; program currently in session; accepts next cohort applications for AI Camp; guaranteed investment up to $500k for accepted startups
bethnal-green-ventures,Bethnal Green Ventures,vc,https://www.bethnalgreenventures.com,https://www.bethnalgreenventures.com/apply,high,Dedicated apply page for BGV programme; open applications for Autumn 2026; structured intake form for tech-for-good founders
bkr-capital,BKR capital,vc,https://www.bkrcapital.ca,https://www.bkrcapital.ca,medium,Website has contact form that explicitly requests pitch deck URL for investment inquiries; not a standalone apply portal but structured intake; Canada's first Black-led institutional VC
