slug,name,type,homepage_url,discovered_apply_url,confidence,notes
dunin-deshpande-queens-innovation-centre,Dunin-Deshpande Queen's Innovation Centre,accel,https://www.queensu.ca/innovationcentre,,not_found,no apply link found
eckert-life-science-accelerator,Eckert Life Science Accelerator,accel,https://www.elsalifescience.com,,not_found,no apply link found
ecommerce-north,eCommerce North,accel,https://ecommercenorth.ca,https://elevateca.typeform.com/to/bIR5c2lA,high,Typeform apply link (text: APPLY NOW)
elab-cornell-university,eLab Cornell University,accel,https://www.elabstartup.com,https://www.elabstartup.com/apply/,high,Apply Now
ella-accelerator-for-women-entrepreneurs,ELLA Accelerator for Women Entrepreneurs,accel,https://www.yorku.ca/ella,,not_found,"Luma link is event registration, not apply page"
empowered-startups,Empowered Startups,accel,http://www.empoweredstartups.com,,not_found,no apply link found
entrepreneur-first,Entrepreneur First,accel,https://www.joinef.com,https://apply.joinef.com,high,APPLY HERE
entrepreneurship-at-ubc,Entrepreneurship at UBC,accel,https://entrepreneurship.ubc.ca,https://innovation.ubc.ca/Apply-for-Venture-Founder-Fall-2026,medium,Apply for Venture Founder Fall 2026 — In
envisage,envisAGE,accel,https://www.envis-age.ca/en,,not_found,no apply link found
expa,Expa,accel,https://www.expa.com,,not_found,VC studio; no public apply form found
fashion-zone,Fashion Zone,accel,https://www.torontomu.ca/fashion-zone,https://www.torontomu.ca/zone-learning/fashion-zone/become-a-member/application/,medium,Apply
fintech-innovation-lab,Fintech Innovation Lab,accel,https://www.fintechinnovationlab.com,https://www.fintechinnovationlab.com/regions/apply-new-york/,low,New York
food-future-co,Food Future Co,accel,https://www.foodfuture.co/#home-about,https://foodfuture.co/apply-to-cohort-13,medium,Cohort application page (no embedded form visible)
fordham-foundry,Fordham Foundry,accel,https://www.fordhamfoundry.org,,not_found,no apply link found
forum-ventures,Forum Ventures,accel,https://www.forumvc.com,https://form.fillout.com/t/vrThVwGMuEus,high,Fillout form embedded on /pitch-us page
founder-fuel,Founder Fuel,accel,https://founderfuel.com,https://founderfuel.com/apply/,medium,Apply
founder-institute,Founder Institute,accel,https://fi.co,https://fi.co/join/home,high,Apply Now
founders-factory,Founders Factory,accel,https://foundersfactory.com,https://form.typeform.com/to/WlDiIsRh,high,Typeform apply link (text: Apply)
founders-space,Founders Space,accel,https://www.foundersspace.com,https://www.foundersspace.com/join/,low,Events
foundersboost,FoundersBoost,accel,https://www.foundersboost.com,https://www.foundersboost.com/pre-accelerator,medium,Apply now
free-ventures,Free Ventures,accel,https://www.freeventures.org,,not_found,no apply link found
further-faster,Further Faster,accel,https://www.furtherfaster.design,https://forms.gle/7M4TZtmqgKjxJEhf7,medium,Google Form on /ready-to-raise page
futuresight,FutureSight,accel,https://futuresight.ventures,,not_found,no apply link found
geovation,Geovation,accel,https://geovation.uk,https://geovation.uk/apply/,medium,Apply
good-neighbor-fund,Good Neighbor Fund,accel,https://www.goodneighbor.fund,,not_found,no apply link found
google-for-startups-canada,Google for Startups Canada,accel,https://startup.google.com/accelerator/canada,https://rsvp.withgoogle.com/events/google-for-startups-accelerator-updates/forms/registration,medium,Email updates registration; direct app form not found
grebel-peace-incubator,Grebel Peace Incubator,accel,https://uwaterloo.ca/centre-peace-advancement/peace-incubator,,not_found,no apply link found
