slug,name,type,homepage_url,discovered_apply_url,confidence,notes
lvlup-ventures,LvlUp Ventures,vc,https://www.lvlup.vc,https://www.lvlup.vc/apply/funding-application,high,Structured multi-question funding application form; also covers 25+ VC ecosystem partners
mantella-venture-partners,Mantella Venture Partners,vc,https://www.mantellavp.com,,not_found,No public apply/pitch form found; contact via LinkedIn or warm intro
mars-investment-accelerator-fund,MaRS Investment Accelerator Fund,vc,https://www.marsiaf.com,https://marsiaf.com/iaf-application/,high,Dedicated online application form for founders
massventures,MassVentures,vc,https://www.mass-ventures.com,https://www.mass-ventures.com/venture-program,medium,"Venture program page describes process; no single open apply form — contact email required. START grant has separate intake (closed until Feb 2027)"
matbridge,Matbridge,vc,http://www.matbridge.ca,,not_found,No structured application intake; small investment firm — contact via website only
matrix,Matrix,vc,https://matrix.vc,,not_found,"No public apply form; email-based contact only (e.g. diana@matrixpartners.com)"
mendoza-ventures,Mendoza Ventures,vc,https://mendoza-ventures.com,,not_found,Portfolio page says 'send us your deck' via email/contact; no structured form
metiquity-ventures,Metiquity Ventures,vc,https://metiquity.ca,https://metiquity.ca/For-Founders/Startups,medium,Founders page describes criteria but no direct online form found; likely contact-based
miami-angels,Miami Angels,vc,https://www.miamiangels.vc,,not_found,"Angel network — does not invest directly in companies per About page; founders present at quarterly pitch events; no standard apply URL"
m12vc,Microsoft's Venture Fund: M12,vc,https://m12.vc,,not_found,No public application form; M12 is invite/intro-driven; no structured intake found
middle-east-venture-partners,Middle East Venture Partners,vc,https://www.mevp.com,,not_found,No public apply form found; contact via website; deal-flow is relationship-driven
mistral-venture-partners,Mistral Venture Partners,vc,https://mistral.vc,,not_found,No public pitch form; seed VC focused on Canada — contact via LinkedIn or warm intro
mmc-ventures,MMC Ventures,vc,https://mmc.vc,,not_found,No public application form found; UK early-stage VC — deal flow via intro and outreach
moment-ventures,Moment Ventures,vc,https://www.momentventures.com,https://www.momentventures.com/contact/,low,"Contact page exists but recommends LinkedIn intro through network connection, not a structured form"
1714,"Montage Ventures is an early stage VC in Menlo Park investing in fintech, commerce, & healthcare",vc,https://montageventures.com,https://www.montageventures.com/contact,low,Contact/connect page — no structured form; founders encouraged to email partners directly
morphais-vc,Morphais VC,vc,https://www.morphais.com,,not_found,"Morphais is a VC sourcing/data platform, not a direct fund that accepts founder applications"
motivate-venture-capital,Motivate Venture Capital,vc,https://motivate.vc,,not_found,No public apply form; FAQ mentions general inquiries via contact page only
motive-ventures,Motive Ventures,vc,https://www.motivepartners.com,,not_found,No public application form; fintech-focused PE/VC; deal flow via relationship
multicoin-capital,Multicoin Capital,vc,https://multicoin.capital,,not_found,No public application form; crypto/blockchain VC — deal flow is thesis-driven and intro-based
mustard-seed,Mustard Seed,vc,https://www.linkedin.com/company/mustard-seed-impact/MustardSeed,,not_found,"LinkedIn-only URL provided; Mustard Seed is an impact advisory/co-investment firm, no structured VC apply form found"
new-stack-ventures,New Stack Ventures,vc,https://www.newstack.com,,not_found,No structured apply form; early-stage VC focused on non-SF/NYC founders — contact via their site
next-coast-ventures,Next Coast Ventures,vc,https://www.nextcoastventures.com,,not_found,"Best pitch path is qualified introduction; no public online application form found"
nextview-ventures,NextView Ventures,vc,https://nextview.vc,,not_found,No public apply form found; pre-seed/seed VC — outreach via LinkedIn or intro recommended
northzone,Northzone,vc,https://northzone.com,,not_found,No public application form; multi-stage European/US VC — deal flow via intro and relationship
norwest-venture-partners,Norwest Venture Partners,vc,https://www.nvp.com,,not_found,No public apply form; seed-to-growth VC — deal flow via intro; careers/portfolio jobs board exists
notion-capital,Notion Capital,vc,https://www.notion.vc,,not_found,No public apply form found; B2B SaaS/cloud UK VC — contact via team LinkedIn
omers-ventures,OMERS Ventures,vc,https://omersventures.com,,not_found,No public application form; early-stage tech VC — deal flow via intro/outreach to team
panache-ventures,Panache Ventures,vc,https://www.panache.vc,https://www.panache.vc/pitch-us,high,Dedicated pitch submission page; accepts deck from any founder; responds to every submission
pangaea-ventures,Pangaea Ventures,vc,https://www.pangaeaventures.com,,not_found,"Hard-tech/materials VC; no public apply form found; contact via website or intro. Demo Day events exist for portfolio, not open intake"
paradigm-capital,Paradigm Capital,vc,https://www.paradigmcap.com,,not_found,"Canadian investment bank (not a startup VC fund); tech capital-raising contact via Barry Richards, 416.364.4835"
pario-ventures,Pario Ventures,vc,https://www.parioventures.com,,not_found,No public apply form; UK/US early-stage VC — no structured intake page found
passion-capital,Passion Capital,vc,https://www.passioncapital.com,,not_found,"London-based early-stage VC; no public online application form found; pitch deck referenced in terms, but no apply URL"
pender-ventures,Pender Ventures,vc,https://www.penderventures.com,,not_found,B2B software/healthtech Canadian VC; no public apply form; contact via website
petri,Petri,vc,https://petri.bio,https://petri.bio,low,"Petri is a bio/engineering accelerator by Pillar VC; apply via petri.bio but no direct form URL confirmed; application process is selective/cohort-based"
pi-labs,Pi Labs,vc,https://pilabs.vc,https://pilabs.vc/growth-programme,medium,"Growth Programme with Demo Day and cohort selection; application details on Growth Programme page; not a rolling open form"
piton-capital,Piton Capital,vc,https://www.pitoncap.com,,not_found,"Network-effects focused VC; website is minimal with only legal/SFDR docs; no apply form"
pjc,PJC,vc,https://www.pjc.vc,,not_found,No public apply form found; early-stage VC with portfolio jobs board only
playfair,Playfair,vc,https://www.playfair.vc,https://playfair.vc/pitch-us.php,high,Open pitch form on website; pre-seed UK/EU VC; reviews every submission
plaza-ventures,Plaza Ventures,vc,https://plaza.ventures,,not_found,No public apply form found; Canadian growth/secondary/early-stage VC — deal flow via network
point72-ventures,Point72 Ventures,vc,https://p72.vc,,not_found,No public apply form; backed by Steven Cohen; fintech/AI/enterprise VC — intro-driven
polaris-partners,Polaris Partners,vc,https://polarispartners.com,,not_found,No public apply form; early-stage tech/life sciences VC — deal flow via intro and network
portage,Portage,vc,https://portageinvest.com,,not_found,Fintech-focused VC; no public apply form; deal flow via thesis-driven outreach and intro
prelude-ventures,Prelude Ventures,vc,https://www.preludeventures.com,https://www.preludeventures.com/founders,medium,"Founders page describes focus (climate/cleantech) but no online application form; email-based contact (jobs@preludeventures.com for jobs; no public startup intake form)"
primary-venture-partners,Primary Venture Partners,vc,https://www.primary.vc,,not_found,No public apply form; NYC seed-stage VC — intro-driven
ptv-healthcare-capital,PTV Healthcare Capital,vc,https://ptvhc.com,,not_found,"Austin-based late-stage healthcare VC; website appears minimal/inactive; no apply form found"
quake-capital-partners,Quake Capital Partners,vc,https://www.quakecapital.com,,not_found,No public structured application form found; early-stage VC with focus on diverse founders — contact via website
quantum-valley-investments,Quantum Valley Investments,vc,https://quantumvalleyinvestments.com,,not_found,"Private fund (Lazaridis/Fregin); invests in quantum information science spinouts; no public apply form — relationships and academic partnerships drive deal flow"
quark-venture,Quark Venture,vc,https://www.quarkventure.com,,not_found,Biotech/health sciences VC; no public apply form; investment via institutional relationships
quona-capital,Quona Capital,vc,https://quona.com,,not_found,Inclusive fintech VC; no public startup apply form; deal flow via thesis-driven sourcing
radical-ventures,Radical Ventures,vc,https://radical.vc,https://radical.vc/masterclass/,medium,"AI Founders Masterclass/community has rolling applications (email AIFounders@radical.vc); general fund investments are not via open form"
rarebreed-ventures,RareBreed Ventures,vc,https://www.rarebreed.vc,,not_found,"Pre-seed VC for founders outside SF/NYC; no public structured form found on site; outreach via email or warm intro to GP McKeever Conwell"
rbcx,RBCx,vc,https://www.rbcx.com,https://www.rbcx.com/banking/startup/,low,"RBCx is RBC's tech banking arm, not a VC fund; startup banking intake via website; no VC investment application"
real-ventures,Real Ventures,vc,https://realventures.com,https://realventures.com/contact/,low,"Contact page with form; no structured pitch intake; also runs FounderFuel accelerator with separate applications"
redpoint-ventures,Redpoint Ventures,vc,https://www.redpoint.com,,not_found,No public apply form; multi-stage VC — deal flow via intro and network
relay-ventures,Relay Ventures,vc,https://relayventures.com,,not_found,No public apply form; Canadian VC — deal flow via intro and network
renewal-funds,Renewal Funds,vc,https://www.renewalfunds.com,https://www.renewalfunds.com/entrepreneur,medium,"Entrepreneur page with application form/criteria; impact-focused Canadian fund; LinkedIn confirms apply at renewalfunds.com/entrepreneur"
revolution,Revolution,vc,https://revolution.com/entity/rotr,https://events.revolution.com/,medium,"Rise of the Rest pitch competitions — apply via events.revolution.com for road trip pitch competitions; $500K+ invested per city stop"
rhino-ventures,Rhino Ventures,vc,https://www.rhinovc.com,https://www.rhinovc.com/contact,low,"Contact page with commitment to respond to every inquiry within one week; no structured form — email-based"
rho-ventures,Rho Ventures,vc,https://www.rho.com,,not_found,"rho.com is Rho (corporate banking platform), not Rho Ventures VC fund; Rho Ventures appears inactive/no current web presence"
ripple-ventures,Ripple Ventures,vc,https://www.rippleventures.com,,not_found,"Inception-stage Canadian VC; no public apply form; deal flow via intro; runs RippleX Fellowship (separate program)"
rogue-insight-capital,Rogue Insight Capital,vc,https://www.rogueinsightcapital.com,https://rogueinsightcapital.com/entrepreneurs/,low,"Entrepreneurs page describes criteria and mentorship model but no online form; contact-based"
rokk3r,Rokk3r,vc,https://www.rokk3r.com,,not_found,"Venture builder/corporate innovation firm; no standard startup apply form; engagement via venture building programs and partnerships"
round13,Round13,vc,https://round13.com,,not_found,Canadian growth-stage VC; no public apply form; deal flow via intro and network
rre-ventures,RRE Ventures,vc,https://www.linkedin.com/company/rre-ventures,https://rre.com/,low,"LinkedIn URL provided; real site is rre.com with contact/submission form embedded in portfolio page; early-stage VC"
rubicon-venture-capital,Rubicon Venture Capital,vc,https://www.rubicon.vc,,not_found,"Sidecar model VC; website appears outdated; no structured apply form found"
s3-ventures,S3 Ventures,vc,https://www.s3vc.com,,not_found,Texas-based VC; no public apply form found; deal flow via intro and relationship
saison-capital,Saison Capital,vc,https://www.saisoncapital.com,,not_found,"SEA/India fintech VC; no public apply form; lean team — deal flow via thesis-driven sourcing"
salesforce-ventures,Salesforce Ventures,vc,https://salesforceventures.com,,not_found,CVC; no public apply form; investments via Salesforce ecosystem relationships and warm intros
sante-ventures,Sante Ventures,vc,https://sante.com,,not_found,Austin-based healthcare/life sciences VC; no public apply form; deal flow via intro and partnerships
saturn-partners,Saturn Partners,vc,https://saturnpartnersvc.com,,not_found,Boston-based seed/early-stage VC; no public apply form; contact-based outreach
scaleup-venture-partners,ScaleUP Venture Partners,vc,https://suv.vc,https://suv.vc,medium,"Submit pitch via form at suv.vc (per third-party source); Toronto-based B2B early-stage VC"
scottish-equity-partners,Scottish Equity Partners,vc,https://www.sep.co.uk,https://www.sep.co.uk/contact,low,"Contact page for growth equity inquiries; no structured startup application form; UK/EU growth equity investor"
secocha-ventures,Secocha Ventures,vc,https://www.secocha.com,,not_found,"Small VC fund; no public apply form found; newsletter signup only; contact-based"
